[Ca2+],[Mg2+],K0p0,K0p1,K0p2,K0p3,K0p4,K0p5,K1p0,K1p1,K1p2,K1p3,K1p4,K2p0,K2p1,K2p2,K2p3,K2p4,Kbp0,Kbp1,Kbp2,Kbp3,Kbp4,Kbp5,Kbp6,Kbp7,Kbp8,Kbp9,Kbp10,Kbp11,Kwp0,Kwp1,Kwp2,Kwp3,Kwp4,Kwp5,Kwp6,Kcp0,Kcp1,Kcp2,Kcp3,Kcp4,Kcp5,Kcp6,Kcp7,Kcp8,Kap0,Kap1,Kap2,Kap3,Kap4,Kap5,Kap6,Kap7,Kap8,Ksp0,Ksp1,Ksp2,Ksp3,Ksp4,Ksp5,Ksp6,Ksp7,Ksp8,Ksp9,Ksp10
0.05,0.019,-58.87791405,91.54615669,22.69658184,0.033066836,-0.030100556,0.005786749,59.11456947,-3544.507541,-9.361786361,0.011561504,-0.000116355,-25.38680077,-533.3006078,3.120269025,0.018029209,-0.000111138,155.6102443,151.1471549,1.417498801,-9208.397319,-3287.898289,-55.70714463,0.128179113,-0.030869297,-25.57108156,-27.56522725,-0.216194219,0.057551734,180.3673927,-15054.54382,-28.47125149,529.6712046,-15.20591392,2.419026218,-0.016772461,82.49561687,-0.000254551,-3624.753813,-31.80442011,-0.365123166,0.002209747,114.10518,-0.078052993,0.004170191,90.97076907,0.002455962,-3770.788893,-35.28697514,0.3572783,0.001071238,21.87462546,-0.101091009,0.005984632,137.5948166,-4167.649525,-22.48488519,-14793.30396,347.9981652,-51.60067785,35857.219,-776.1219589,115.4196572,-2886.458711,1842.396066
0.05,0.02,-58.97618657,91.68591987,22.74359896,0.032639548,-0.029805956,0.005737092,59.29101297,-3552.180596,-9.388245524,0.011567301,-0.00011635,-25.19754464,-541.1817559,3.092312828,0.018038589,-0.000111235,155.5523942,150.9032221,1.429581397,-9228.954375,-3263.617429,-60.16890263,0.557582588,-0.048418544,-25.56298287,-27.52519857,-0.217995273,0.057512367,179.616351,-15025.77962,-28.35577296,517.1213977,-14.93368288,2.378913686,-0.016681197,80.81138621,-0.000780571,-3583.678801,-31.11476499,-0.365683576,0.002209774,114.2559005,-0.078019805,0.004168342,89.06357147,0.001867093,-3723.743897,-34.50794581,0.35722506,0.001070848,21.9891229,-0.10110059,0.005985113,140.5188189,-4260.920818,-22.92364665,-14643.93996,340.9902293,-50.54701891,35916.32923,-771.5410267,114.7319733,-3081.295476,1897.83624
0.05,0.021,-59.07409149,91.8251514,22.79044228,0.032215384,-0.029513396,0.005687769,59.46767484,-3559.863364,-9.414736439,0.011572868,-0.000116342,-25.01076567,-548.9479813,3.064719784,0.018047702,-0.000111328,155.8036116,150.4763633,1.447697844,-9413.507912,-3134.08899,-89.25135051,3.649785903,-0.174992621,-25.60078519,-27.45545718,-0.220691532,0.057445223,178.0689209,-14960.87558,-28.12200073,498.7428252,-14.53200451,2.319580394,-0.016627659,78.85602647,-0.001382964,-3535.326065,-30.31645384,-0.365653823,0.00220932,114.363296,-0.078036806,0.004169266,86.61517251,0.001113869,-3662.89527,-33.50951833,0.357357638,0.001070997,22.14784699,-0.101191851,0.005990065,141.8432675,-4345.232121,-23.12239043,-14376.01702,337.6126241,-50.03811013,35592.15255,-769.0097361,114.3518542,-2917.619226,1851.335359
0.05,0.022,-59.17248986,91.96509512,22.83751899,0.031787014,-0.029218058,0.005637985,59.6444769,-3567.55287,-9.441248328,0.011578554,-0.000116336,-24.82486546,-556.671014,3.037251037,0.018056763,-0.000111421,159.7362149,148.8211739,1.564556839,-9473.3522,-3140.745013,-75.6915908,1.593477102,-0.090780818,-26.18744044,-27.20207166,-0.238109126,0.057372353,177.7949395,-14954.23335,-28.07748591,490.4648529,-14.3501409,2.292899356,-0.016589563,76.96519496,-0.001965428,-3488.569161,-29.54438601,-0.365650676,0.002208759,114.4577999,-0.078037104,0.004169273,85.63856456,0.000802097,-3639.890828,-33.10701695,0.356926013,0.001070504,22.24899315,-0.101128,0.005986583,141.7650431,-4327.95125,-23.11055483,-14433.80815,337.4248026,-50.00807473,35668.04977,-768.2819037,114.2424838,-2998.788114,1874.438031
0.05,0.023,-59.2709471,92.10511088,22.88462665,0.031358884,-0.028922808,0.005588208,59.82107856,-3575.233573,-9.467730813,0.011584416,-0.000116331,-24.64049111,-564.3222374,3.010003942,0.018065554,-0.00011151,154.3799033,150.1336978,1.43226031,-9141.922121,-3265.214993,-55.11361978,-0.009942648,-0.024930711,-25.38984482,-27.38876754,-0.218397247,0.05727538,176.9689624,-14922.61641,-27.95073191,477.4123696,-14.06203538,2.250362109,-0.01654763,75.36660398,-0.002473103,-3450.1682,-28.88859718,-0.366019926,0.002209842,114.6931275,-0.078134559,0.004174582,84.42262462,0.000390739,-3612.442356,-32.60228412,0.354778388,0.001073894,22.68494451,-0.101157333,0.005988182,135.5607159,-4071.61517,-22.17936202,-14976.54346,351.171254,-52.06919062,35884.16471,-775.4357837,115.3159454,-2927.880983,1854.306607
0.05,0.024,-59.36918742,92.24483089,22.93162763,0.030932225,-0.028628627,0.00553862,59.99791554,-3582.925257,-9.494247683,0.011590164,-0.000116326,-24.45759881,-571.9021396,2.982970727,0.018074293,-0.000111599,155.6958044,149.4318306,1.478842941,-9208.850723,-3231.033432,-58.56393114,0.137818225,-0.030956042,-25.58619692,-27.2800281,-0.225331982,0.057229815,176.1274828,-14890.02806,-27.82194515,464.7846103,-13.7832931,2.209256449,-0.016529392,73.45389345,-0.003069058,-3403.218705,-28.10620311,-0.366731173,0.002210241,114.8658774,-0.078108203,0.004173148,81.14480017,-0.000591564,-3528.914462,-31.27149031,0.355884233,0.001071745,22.63523062,-0.101181595,0.005989502,143.9120977,-4473.221908,-23.43267397,-13955.36799,331.8110897,-49.16168106,35062.12722,-763.8666178,113.5794498,-2682.796948,1784.749174
0.05,0.025,-59.46722512,92.38425069,22.97853551,0.030508722,-0.028336518,0.00548937,60.1741842,-3590.592234,-9.520680262,0.011596185,-0.000116324,-24.27614346,-579.4156152,2.956145415,0.018083218,-0.000111691,144.5460121,152.7512255,1.190121664,-8642.629446,-3426.347264,-35.41852814,-0.964014752,0.013902658,-23.92566498,-27.76823655,-0.18232089,0.057161529,175.5855184,-14871.21563,-27.73753684,454.5707952,-13.55635301,2.175794215,-0.016503649,71.51905867,-0.00365971,-3354.96605,-27.31743794,-0.366314883,0.002209066,114.8983572,-0.078112624,0.004173398,79.25195418,-0.001184062,-3482.611141,-30.49667144,0.354989066,0.001072467,22.833388,-0.101155009,0.005988057,142.3930515,-4324.095738,-23.20466561,-14473.12521,334.9030176,-49.62372005,35763.05513,-764.9967369,113.7488372,-3177.60345,1925.41014
0.05,0.026,-59.56553883,92.5240697,23.02557284,0.030081533,-0.028041924,0.005439705,60.35020592,-3598.247735,-9.547074442,0.011601676,-0.000116315,-24.09523494,-586.8996857,2.929394966,0.018091964,-0.00011178,151.200625,150.1951472,1.38073369,-9159.346268,-3172.408234,-79.40665449,2.907239421,-0.14442905,-24.91774212,-27.38060936,-0.210722948,0.057087956,175.7672205,-14885.5589,-27.76049217,449.428978,-13.43943141,2.158615455,-0.016465511,70.02253106,-0.004129722,-3318.692701,-26.7044167,-0.366276615,0.002209173,115.040623,-0.078178714,0.004177024,77.98189068,-0.00158475,-3452.116112,-29.97594693,0.355491468,0.001072315,22.95261467,-0.101271722,0.005994437,148.920981,-4663.663715,-24.18430468,-13554.73887,319.6939706,-47.33923414,34911.51155,-755.7783918,112.3651695,-2832.932739,1827.517347
0.05,0.027,-59.66386889,92.66389902,23.07262156,0.029656468,-0.027748694,0.005390258,60.52702039,-3605.939311,-9.573586896,0.011607309,-0.000116308,-23.91584331,-594.312382,2.902867057,0.018099897,-0.000111859,153.5760194,149.0487995,1.45539889,-9053.359113,-3265.409565,-48.28340992,-0.864231137,0.009950399,-25.27182317,-27.20309985,-0.22183834,0.057013702,174.7473619,-14844.87423,-27.60515941,435.7439121,-13.13513685,2.113643835,-0.016461013,68.33895953,-0.004650292,-3277.186121,-26.01630794,-0.366451512,0.002208606,115.1216012,-0.078143308,0.004175127,76.09161022,-0.002165137,-3405.132275,-29.20436965,0.355271761,0.001071518,23.01372825,-0.101206769,0.005990931,144.7507426,-4467.477127,-23.55835999,-14024.87016,328.8230626,-48.70743625,35232.34933,-760.327556,113.047749,-2927.026514,1854.285296
0.05,0.028,-59.76181643,92.80319013,23.11948661,0.029232929,-0.027456536,0.005340996,60.70337395,-3613.610595,-9.600032088,0.011613452,-0.000116307,-23.73763447,-601.6693208,2.876506317,0.018108835,-0.000111951,151.4838608,149.3782588,1.410662641,-9149.3438,-3158.931916,-77.31730774,2.531436267,-0.128954524,-24.96081232,-27.24558836,-0.215178886,0.056942719,174.5359693,-14841.30619,-27.56975553,427.560465,-12.95006657,2.086321403,-0.016444659,66.76497001,-0.005136801,-3238.451779,-25.37320109,-0.366074325,0.002207866,115.1845724,-0.078180117,0.004177166,74.70729121,-0.002600253,-3371.623889,-28.63703601,0.355279256,0.001071431,23.13344162,-0.101246067,0.005993099,142.1970493,-4343.688017,-23.17503445,-14324.32936,334.2762907,-49.52394748,35442.89585,-762.7985723,113.4184317,-3005.454651,1876.590009
